data;Taxa (% a.d);
29/03/2019;0.017534247;
01/04/2019;0.017534247;
02/04/2019;0.017534247;
03/04/2019;0.017534247;
04/04/2019;0.017534247;
05/04/2019;0.017534247;
08/04/2019;0.017534247;
09/04/2019;0.017534247;
10/04/2019;0.017534247;
11/04/2019;0.017534247;
12/04/2019;0.017534247;
15/04/2019;0.017534247;
16/04/2019;0.017534247;
17/04/2019;0.017534247;
18/04/2019;0.017534247;
22/04/2019;0.017534247;
23/04/2019;0.017534247;
24/04/2019;0.017534247;
25/04/2019;0.017534247;
26/04/2019;0.017534247;
29/04/2019;0.017534247;
30/04/2019;0.017534247;
02/05/2019;0.017534247;
03/05/2019;0.017534247;
06/05/2019;0.017534247;
07/05/2019;0.017534247;
08/05/2019;0.017534247;
09/05/2019;0.017534247;
10/05/2019;0.017534247;
13/05/2019;0.017534247;
14/05/2019;0.017534247;
15/05/2019;0.017534247;
16/05/2019;0.017534247;
17/05/2019;0.017534247;
20/05/2019;0.017534247;
21/05/2019;0.017534247;
22/05/2019;0.017534247;
23/05/2019;0.017534247;
24/05/2019;0.017534247;
27/05/2019;0.017534247;
28/05/2019;0.017534247;
29/05/2019;0.017534247;
30/05/2019;0.017534247;
31/05/2019;0.017534247;
03/06/2019;0.017534247;
04/06/2019;0.017534247;
05/06/2019;0.017534247;
06/06/2019;0.017534247;
07/06/2019;0.017534247;
10/06/2019;0.017534247;
11/06/2019;0.017534247;
12/06/2019;0.017534247;
13/06/2019;0.017534247;
14/06/2019;0.017534247;
17/06/2019;0.017534247;
18/06/2019;0.017534247;
19/06/2019;0.017534247;
21/06/2019;0.017534247;
24/06/2019;0.017534247;
25/06/2019;0.017534247;
26/06/2019;0.017534247;
27/06/2019;0.017534247;
28/06/2019;0.017534247;
01/07/2019;0.017534247;
02/07/2019;0.017534247;
03/07/2019;0.017534247;
04/07/2019;0.017534247;
05/07/2019;0.017534247;
08/07/2019;0.017534247;
10/07/2019;0.017534247;
11/07/2019;0.017534247;
12/07/2019;0.017534247;
15/07/2019;0.017534247;
16/07/2019;0.017534247;
17/07/2019;0.017534247;
18/07/2019;0.017534247;
19/07/2019;0.017534247;
22/07/2019;0.017534247;
23/07/2019;0.017534247;
24/07/2019;0.017534247;
25/07/2019;0.017534247;
26/07/2019;0.017534247;
29/07/2019;0.017534247;
30/07/2019;0.017534247;
31/07/2019;0.017534247;
01/08/2019;0.016164384;
02/08/2019;0.016164384;
05/08/2019;0.016164384;
06/08/2019;0.016164384;
07/08/2019;0.016164384;
08/08/2019;0.016164384;
09/08/2019;0.016164384;
12/08/2019;0.016164384;
13/08/2019;0.016164384;
14/08/2019;0.016164384;
15/08/2019;0.016164384;
16/08/2019;0.016164384;
19/08/2019;0.016164384;
20/08/2019;0.016164384;
21/08/2019;0.016164384;
22/08/2019;0.016164384;
23/08/2019;0.016164384;
26/08/2019;0.016164384;
27/08/2019;0.016164384;
28/08/2019;0.016164384;
29/08/2019;0.016164384;
30/08/2019;0.016164384;
02/09/2019;0.016164384;
03/09/2019;0.016164384;
04/09/2019;0.016164384;
05/09/2019;0.016164384;
06/09/2019;0.016164384;
09/09/2019;0.016164384;
10/09/2019;0.016164384;
11/09/2019;0.016164384;
12/09/2019;0.016164384;
13/09/2019;0.016164384;
16/09/2019;0.016164384;
17/09/2019;0.016164384;
18/09/2019;0.016164384;
19/09/2019;0.014794521;
20/09/2019;0.014794521;
23/09/2019;0.014794521;
24/09/2019;0.014794521;
25/09/2019;0.014794521;
26/09/2019;0.014794521;
27/09/2019;0.014794521;
30/09/2019;0.014794521;
01/10/2019;0.014794521;
02/10/2019;0.014794521;
03/10/2019;0.014794521;
04/10/2019;0.014794521;
07/10/2019;0.014794521;
08/10/2019;0.014794521;
09/10/2019;0.014794521;
10/10/2019;0.014794521;
11/10/2019;0.014794521;
14/10/2019;0.014794521;
15/10/2019;0.014794521;
16/10/2019;0.014794521;
17/10/2019;0.014794521;
18/10/2019;0.014794521;
21/10/2019;0.014794521;
22/10/2019;0.014794521;
23/10/2019;0.014794521;
24/10/2019;0.014794521;
25/10/2019;0.014794521;
28/10/2019;0.014794521;
29/10/2019;0.014794521;
30/10/2019;0.014794521;
31/10/2019;0.013424658;
01/11/2019;0.013424658;
04/11/2019;0.013424658;
05/11/2019;0.013424658;
06/11/2019;0.013424658;
07/11/2019;0.013424658;
